accession,pipeline_type,record_description,organism,source_text,type_I_evidence,type_II_evidence,status,error
PX123076.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-10 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-10 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-May-2024,False,True,SUPPORTED,
PX123075.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-9 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-9 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=21-Apr-2024,False,True,SUPPORTED,
PX123073.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-7 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-7 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=07-Mar-2024,False,True,SUPPORTED,
PX123072.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-6 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-6 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=06-Mar-2024,False,True,SUPPORTED,
PX123071.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-5 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-5 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=11-Jan-2024,False,True,SUPPORTED,
PX123070.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-4 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-4 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=05-Jan-2024,False,True,SUPPORTED,
PX123069.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-3 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-3 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=26-Dec-2023,False,True,SUPPORTED,
PX123068.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-2 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-2 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=01-Nov-2023,False,True,SUPPORTED,
PX123067.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 strain XJLETU5-1 envelope glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | strain=XJLETU5-1 | host=swine | db_xref=taxon:1965067 | geo_loc_name=China | collection_date=28-Sep-2023,False,True,SUPPORTED,
PV958076.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 isolate PRRSV2/USA/MO/vivid.74212/2021 glycosylated envelope protein (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | isolate=PRRSV2/USA/MO/vivid.74212/2021 | db_xref=taxon:1965067 | geo_loc_name=USA: MO | collection_date=2021-09-29 | note=lineage: L1A; variant: 1A.18; classified on 2025-07-03,False,True,SUPPORTED,
PV958075.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 isolate PRRSV2/USA/NC/vivid.LHMCQD/2019 glycosylated envelope protein (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | isolate=PRRSV2/USA/NC/vivid.LHMCQD/2019 | db_xref=taxon:1965067 | geo_loc_name=USA: NC | collection_date=2019-12-10 | note=lineage: L1A; variant: 1A.17; classified on 2025-07-03,False,True,SUPPORTED,
PV958074.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 isolate PRRSV2/CAN/vivid.3964/2019 glycosylated envelope protein (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | isolate=PRRSV2/CAN/vivid.3964/2019 | db_xref=taxon:1965067 | geo_loc_name=Canada | collection_date=2019-05-15 | note=lineage: L1H; variant: 1H.37; classified on 2025-07-03,False,True,SUPPORTED,
PV958073.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 isolate PRRSV2/CAN/vivid.2901/2016 glycosylated envelope protein (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | isolate=PRRSV2/CAN/vivid.2901/2016 | db_xref=taxon:1965067 | geo_loc_name=Canada | collection_date=2016-08-02 | note=lineage: L1E; variant: 1E.9; classified on 2025-07-03,False,True,SUPPORTED,
PV958072.1,Type II,"Porcine reproductive and respiratory syndrome virus 2 isolate PRRSV2/CAN/vivid.4635/2021 glycosylated envelope protein (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus 2,organism=Porcine reproductive and respiratory syndrome virus 2 | mol_type=genomic RNA | isolate=PRRSV2/CAN/vivid.4635/2021 | db_xref=taxon:1965067 | geo_loc_name=Canada | collection_date=2021-01-08 | note=lineage: L1H; variant: 1H.42; classified on 2025-07-03,False,True,SUPPORTED,
